%%% Bode Mag Phase 
frequency speed  m1 m2 m3 p1 p2 p3
2.005402110430e-01 3.000000000000e+01 -8.330648913355e+01 -5.758788953776e+01 -8.691495227318e+01 -6.379911506261e+00 -1.765428977825e+02 1.734615086098e+02 
2.014664815361e-01 3.000000000000e+01 -8.330665026868e+01 -5.758773068673e+01 -8.691509938160e+01 -6.409386288890e+00 -1.765268259149e+02 1.734313008829e+02 
2.023970303585e-01 3.000000000000e+01 -8.330681290329e+01 -5.758757030049e+01 -8.691524785960e+01 -6.438997301929e+00 -1.765106784147e+02 1.734009535334e+02 
2.033318772710e-01 3.000000000000e+01 -8.330697705141e+01 -5.758740836367e+01 -8.691539772001e+01 -6.468745175769e+00 -1.764944549141e+02 1.733704659153e+02 
2.042710421261e-01 3.000000000000e+01 -8.330714272718e+01 -5.758724486069e+01 -8.691554897575e+01 -6.498630543725e+00 -1.764781550436e+02 1.733398373794e+02 
2.052145448677e-01 3.000000000000e+01 -8.330730994491e+01 -5.758707977583e+01 -8.691570163990e+01 -6.528654042054e+00 -1.764617784316e+02 1.733090672734e+02 
2.061624055322e-01 3.000000000000e+01 -8.330747871901e+01 -5.758691309320e+01 -8.691585572564e+01 -6.558816309963e+00 -1.764453247047e+02 1.732781549423e+02 
2.071146442481e-01 3.000000000000e+01 -8.330764906404e+01 -5.758674479674e+01 -8.691601124628e+01 -6.589117989628e+00 -1.764287934873e+02 1.732470997278e+02 
2.080712812371e-01 3.000000000000e+01 -8.330782099470e+01 -5.758657487020e+01 -8.691616821526e+01 -6.619559726205e+00 -1.764121844019e+02 1.732159009685e+02 
2.090323368144e-01 3.000000000000e+01 -8.330799452583e+01 -5.758640329718e+01 -8.691632664614e+01 -6.650142167844e+00 -1.763954970693e+02 1.731845580002e+02 
