%%% Bode Mag Phase 
frequency speed  m1 m2 m3 m4 p1 p2 p3 p4
2.53862643e-01 0.00000000e+00 -1.10491655e+01 -5.34866417e+00 -2.53055694e+01 -1.05409969e+01 1.08526178e+01 -1.78571302e+02 -9.24245736e+01 1.08042444e+01 
2.55445547e-01 0.00000000e+00 -1.16768434e+01 -3.37142843e+00 -2.76971311e+01 -7.38886257e+00 5.42763257e+00 1.78281428e+02 -6.94801123e+01 -2.41264572e+00 
2.57038320e-01 0.00000000e+00 -1.12108143e+01 -9.08929997e+00 -2.66869942e+01 -1.52143661e+01 9.56296397e+00 -1.65934073e+02 -8.01284687e+01 2.58542782e+01 
2.58641025e-01 0.00000000e+00 -1.30717340e+01 -3.12905915e+00 -2.82021298e+01 -1.32666456e+01 1.07470225e+01 -1.59436747e+02 -3.69836207e+01 8.04388206e+00 
2.60253722e-01 0.00000000e+00 -1.15264714e+01 -6.38386041e+00 -3.43695355e+01 -1.06160073e+01 -1.62681944e+00 1.71827225e+02 -5.10473148e+01 -6.49705314e+00 
2.61876476e-01 0.00000000e+00 -1.09528456e+01 -5.91956295e+00 -4.04599265e+01 -1.23569083e+01 -4.35461829e+00 1.67876199e+02 5.34382133e+01 -2.42305807e+01 
2.63509348e-01 0.00000000e+00 -1.14296952e+01 -5.90560823e+00 -3.21664467e+01 -1.65812374e+01 5.21644292e-01 1.79915420e+02 -2.70813991e+01 4.05497123e+00 
2.65152401e-01 0.00000000e+00 -1.14273900e+01 -7.49905198e+00 -3.39868134e+01 -2.21730741e+01 -7.55876147e-02 -1.72618938e+02 -1.42680440e+01 3.38472051e+00 
2.66805699e-01 0.00000000e+00 -1.10455471e+01 -5.23643766e+00 -4.30384663e+01 -1.03686083e+01 -3.11718379e+00 1.72540357e+02 -3.34072944e+00 -1.60607561e+01 
2.68469306e-01 0.00000000e+00 -1.08032358e+01 -1.26673147e+01 -3.37081774e+01 -2.96549103e+01 1.21127042e-01 1.75261919e+02 -5.86679867e+01 8.87268340e+01 
2.70143286e-01 0.00000000e+00 -1.14835611e+01 -4.23079240e+00 -2.48064296e+01 -9.02612327e+00 1.27723959e+01 -1.69202228e+02 -7.29492156e+01 9.47803370e+00 
2.71827704e-01 0.00000000e+00 -1.12205396e+01 -4.90251952e+00 -3.26603910e+01 -1.14097081e+01 6.44281831e-01 1.76587917e+02 -4.36605480e+01 -2.22058129e+00 
2.73522624e-01 0.00000000e+00 -1.12075799e+01 -8.35554588e+00 -3.47020103e+01 -1.76646177e+01 -1.45469407e+00 1.78224053e+02 -1.56737115e+01 -5.85028566e+00 
2.75228113e-01 0.00000000e+00 -1.07739186e+01 -1.21840562e+01 -3.53059080e+01 -3.02110064e+01 -8.93423271e-01 1.75271020e+02 -5.93777909e+01 9.61690811e+01 
2.76944236e-01 0.00000000e+00 -1.14671019e+01 -4.80187025e+00 -2.87423852e+01 -9.77214545e+00 6.20606867e+00 -1.75734542e+02 -6.43869542e+01 1.41300398e+00 
2.78671059e-01 0.00000000e+00 -1.05460511e+01 -1.24921017e+01 -4.16585296e+01 -2.57968709e+01 -4.43649800e+00 1.70609648e+02 6.58585398e+01 -6.49073123e+01 
2.80408650e-01 0.00000000e+00 -1.16314819e+01 -3.80792112e+00 -3.02557387e+01 -1.17726201e+01 5.47215939e+00 -1.71395248e+02 -4.02595162e+01 1.96821491e+00 
2.82157075e-01 0.00000000e+00 -1.17451314e+01 -1.20372502e+01 -3.76515689e+01 -1.59878496e+01 -7.33152026e+00 1.56447313e+02 8.43961159e+00 -1.47879230e+01 
2.83916402e-01 0.00000000e+00 -1.12789606e+01 -4.64988256e+00 -3.18279607e+01 -9.62237844e+00 9.77665025e-01 1.76457051e+02 -5.36149395e+01 -3.74235080e+00 
2.85686699e-01 0.00000000e+00 -1.06426372e+01 -8.95735903e+00 -2.85756795e+01 -1.63561621e+01 6.54094866e+00 -1.73627847e+02 -8.89226740e+01 2.68280735e+01 
2.87468034e-01 0.00000000e+00 -1.17668003e+01 -5.36584670e+00 -2.84452186e+01 -8.96936572e+00 6.20607485e+00 -1.74704252e+02 -7.04768390e+01 -1.27828388e+00 
2.89260476e-01 0.00000000e+00 -1.12678592e+01 -9.64229729e+00 -3.66033916e+01 -1.64068257e+01 -1.90367291e+00 1.76671757e+02 -1.97874974e+01 -7.40535210e+00 
2.91064095e-01 0.00000000e+00 -1.31225818e+01 -4.87712439e+00 -2.56378726e+01 -1.15905947e+01 1.68457486e+01 -1.47473211e+02 -5.81530612e+01 1.01886172e+01 
2.92878960e-01 0.00000000e+00 -1.21847999e+01 -2.87220781e+00 -2.87557157e+01 -1.17937194e+01 4.35922060e+00 -1.73051648e+02 -2.97396231e+01 5.08116462e+00 
2.94705140e-01 0.00000000e+00 -1.14227675e+01 -1.74749997e+01 -5.62420970e+01 -8.19688653e+01 -6.44888727e+00 1.72977850e+02 1.62726319e+02 -2.03460732e+01 
2.96542708e-01 0.00000000e+00 -1.14688405e+01 -9.28880568e+00 -2.50974206e+01 -1.26604914e+01 1.09089468e+01 -1.63935829e+02 -8.04126204e+01 1.89816452e+01 
2.98391733e-01 0.00000000e+00 -1.05985733e+01 -1.82352861e+01 -4.48202212e+01 -4.77422077e+01 -2.88811247e+00 1.64142099e+02 4.70302708e+00 -3.10493331e+01 
3.00252288e-01 0.00000000e+00 -1.08735588e+01 -7.74512556e+00 -3.62397707e+01 -1.61254892e+01 -3.49661863e+00 1.68129843e+02 -1.94779659e+01 -3.69809498e+00 
3.02124443e-01 0.00000000e+00 -9.98851197e+00 -1.89162094e+01 -4.45197375e+01 -4.98734155e+01 -5.33399425e+00 1.69902787e+02 7.38929499e+01 -5.96396866e+00 
3.04008272e-01 0.00000000e+00 -1.10711382e+01 -1.75501076e+01 -5.31630929e+01 -5.29673536e+01 -6.25513535e+00 1.71391980e+02 1.31159734e+01 8.49446944e+00 
3.05903847e-01 0.00000000e+00 -1.04202806e+01 -1.30790090e+01 -3.84868435e+01 -3.43528747e+01 -2.05719087e+00 1.78338090e+02 -3.39520107e+01 1.51284684e+02 
3.07811242e-01 0.00000000e+00 -1.11141939e+01 -4.87411535e+00 -3.12342967e+01 -9.77900366e+00 3.04728417e+00 -1.79921165e+02 -5.88632019e+01 -1.79229209e+00 
3.09730530e-01 0.00000000e+00 -1.23172546e+01 -3.11351160e+00 -2.53278383e+01 -9.37457249e+00 1.43596136e+01 -1.60389794e+02 -5.59792232e+01 6.44862465e+00 
3.11661785e-01 0.00000000e+00 -1.11948750e+01 -1.85200338e+01 -4.56782935e+01 -6.24522956e+01 -1.43594174e+00 1.69367208e+02 -1.43365912e+02 -9.46667973e+01 
3.13605082e-01 0.00000000e+00 -1.18656274e+01 -1.06355925e+01 -3.90731145e+01 -1.14260258e+01 -2.55166552e+00 -1.77224676e+02 -8.41232106e+01 -1.01962203e+01 
3.15560496e-01 0.00000000e+00 -1.07217283e+01 -1.38710159e+01 -3.52228297e+01 -3.11360758e+01 -2.96462874e+00 1.59494578e+02 -6.51419563e+01 9.23487781e+01 
