%%% Bode Mag Phase 
frequency speed  m1 p1
2.303362873142e-01 0.000000000000e+00 -3.981993428290e+01 -1.693407093492e+00 
2.314005380131e-01 0.000000000000e+00 -3.981824965962e+01 -1.701563724957e+00 
2.324697059986e-01 0.000000000000e+00 -3.981654911596e+01 -1.709762802432e+00 
2.335438139906e-01 0.000000000000e+00 -3.981483249845e+01 -1.718004591424e+00 
2.346228848142e-01 0.000000000000e+00 -3.981309965208e+01 -1.726289359709e+00 
2.357069413997e-01 0.000000000000e+00 -3.981135042028e+01 -1.734617377357e+00 
2.367960067833e-01 0.000000000000e+00 -3.980958464493e+01 -1.742988916760e+00 
2.378901041079e-01 0.000000000000e+00 -3.980780216629e+01 -1.751404252662e+00 
2.389892566231e-01 0.000000000000e+00 -3.980600282305e+01 -1.759863662182e+00 
2.400934876861e-01 0.000000000000e+00 -3.980418645227e+01 -1.768367424849e+00 
2.412028207618e-01 0.000000000000e+00 -3.980235288935e+01 -1.776915822625e+00 
2.423172794238e-01 0.000000000000e+00 -3.980050196806e+01 -1.785509139937e+00 
2.434368873543e-01 0.000000000000e+00 -3.979863352049e+01 -1.794147663707e+00 
2.445616683452e-01 0.000000000000e+00 -3.979674737702e+01 -1.802831683380e+00 
2.456916462983e-01 0.000000000000e+00 -3.979484336635e+01 -1.811561490960e+00 
2.468268452256e-01 0.000000000000e+00 -3.979292131542e+01 -1.820337381033e+00 
2.479672892502e-01 0.000000000000e+00 -3.979098104944e+01 -1.829159650807e+00 
2.491130026068e-01 0.000000000000e+00 -3.978902239184e+01 -1.838028600136e+00 
2.502640096418e-01 0.000000000000e+00 -3.978704516429e+01 -1.846944531561e+00 
2.514203348143e-01 0.000000000000e+00 -3.978504918663e+01 -1.855907750336e+00 
2.525820026963e-01 0.000000000000e+00 -3.978303427687e+01 -1.864918564464e+00 
2.537490379734e-01 0.000000000000e+00 -3.978100025119e+01 -1.873977284733e+00 
2.549214654451e-01 0.000000000000e+00 -3.977894692391e+01 -1.883084224749e+00 
2.560993100258e-01 0.000000000000e+00 -3.977687410744e+01 -1.892239700970e+00 
2.572825967448e-01 0.000000000000e+00 -3.977478161231e+01 -1.901444032743e+00 
2.584713507470e-01 0.000000000000e+00 -3.977266924709e+01 -1.910697542340e+00 
2.596655972935e-01 0.000000000000e+00 -3.977053681843e+01 -1.920000554997e+00 
2.608653617623e-01 0.000000000000e+00 -3.976838413100e+01 -1.929353398946e+00 
2.620706696484e-01 0.000000000000e+00 -3.976621098748e+01 -1.938756405458e+00 
2.632815465648e-01 0.000000000000e+00 -3.976401718852e+01 -1.948209908880e+00 
2.644980182428e-01 0.000000000000e+00 -3.976180253274e+01 -1.957714246673e+00 
2.657201105325e-01 0.000000000000e+00 -3.975956681672e+01 -1.967269759452e+00 
2.669478494034e-01 0.000000000000e+00 -3.975730983494e+01 -1.976876791030e+00 
