%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
8.47086827e-05 3.00000000e+01 -2.54781017e+01 -1.55337679e+01 -1.79732591e+02 -1.79734916e+02 
8.64842328e-05 3.00000000e+01 -2.54781948e+01 -1.55339778e+01 -1.79726992e+02 -1.79729367e+02 
8.82969996e-05 3.00000000e+01 -2.54782839e+01 -1.55341793e+01 -1.79721276e+02 -1.79723700e+02 
9.01477631e-05 3.00000000e+01 -2.54783704e+01 -1.55343735e+01 -1.79715441e+02 -1.79717915e+02 
9.20373200e-05 3.00000000e+01 -2.54784534e+01 -1.55345597e+01 -1.79709482e+02 -1.79712009e+02 
9.39664831e-05 3.00000000e+01 -2.54785329e+01 -1.55347383e+01 -1.79703399e+02 -1.79705978e+02 
9.59360829e-05 3.00000000e+01 -2.54786106e+01 -1.55349111e+01 -1.79697188e+02 -1.79699821e+02 
9.79469667e-05 3.00000000e+01 -2.54786851e+01 -1.55350768e+01 -1.79690847e+02 -1.79693535e+02 
1.00000000e-04 3.00000000e+01 -2.54787567e+01 -1.55352359e+01 -1.79684372e+02 -1.79687117e+02 
1.02096066e-04 3.00000000e+01 -2.54788254e+01 -1.55353885e+01 -1.79677762e+02 -1.79680565e+02 
1.04236067e-04 3.00000000e+01 -2.54788925e+01 -1.55355361e+01 -1.79671013e+02 -1.79673875e+02 
1.06420924e-04 3.00000000e+01 -2.54789572e+01 -1.55356781e+01 -1.79664123e+02 -1.79667044e+02 
1.08651577e-04 3.00000000e+01 -2.54790195e+01 -1.55358145e+01 -1.79657088e+02 -1.79660071e+02 
1.10928986e-04 3.00000000e+01 -2.54790801e+01 -1.55359461e+01 -1.79649906e+02 -1.79652951e+02 
1.13254132e-04 3.00000000e+01 -2.54791387e+01 -1.55360730e+01 -1.79642573e+02 -1.79645681e+02 
1.15628013e-04 3.00000000e+01 -2.54791956e+01 -1.55361953e+01 -1.79635086e+02 -1.79638260e+02 
1.18051653e-04 3.00000000e+01 -2.54792508e+01 -1.55363132e+01 -1.79627442e+02 -1.79630682e+02 
1.20526094e-04 3.00000000e+01 -2.54793041e+01 -1.55364268e+01 -1.79619638e+02 -1.79622946e+02 
1.23052400e-04 3.00000000e+01 -2.54793559e+01 -1.55365365e+01 -1.79611670e+02 -1.79615047e+02 
1.25631660e-04 3.00000000e+01 -2.54794066e+01 -1.55366426e+01 -1.79603535e+02 -1.79606983e+02 
1.28264983e-04 3.00000000e+01 -2.54794557e+01 -1.55367448e+01 -1.79595230e+02 -1.79598750e+02 
